id,gender,age in 1st year,age at graduation,ethnicity,GPA 1st Year,GPA 2nd Year,GPA 3rd Year,GPA 4th Year,GPA - 5th Year,Job Placement - 3rd Year,Job Placement - 4th Year,Job Placement - 5th Year,Year of Graduation
1e962b39-ba52-5ff0-953b-4d613e74894a,F,18,21,ASIAN,3.46,3.38,3.38,3.46,,,,,4th Year
1eb82f7a-a2b1-5c5f-9bf6-0338ac7ae6da,M,18,21,ASIAN,3.6,3.6,3.6,3.6,,,,,4th Year
1eba6ee7-a5be-57a2-af8c-518c54bd0816,F,18,21,HISPANIC LATINO AMER,3,2.82,3,3,,,Yes,,4th Year
1f573b27-2695-5aa8-b990-7351a25ea610,F,18,21,ASIAN,3.65,3.51,3.51,3.65,,,Yes,,4th Year
1f66bf1a-3b99-5b28-9277-d087722cea58,M,18,21,ASIAN,3.61,3.61,3.61,3.61,,,Yes,,4th Year
1f76f847-2671-5ef7-b959-cbf3ddb989e7,F,18,21,ASIAN,3.29,3.29,3.29,3.29,,,,,4th Year
1f91c82d-28a4-5ffe-bc62-83ad4557e70f,M,18,21,HISPANIC LATINO AMER,3.98,3.87,3.87,3.94,,,,,4th Year
1f9c4e68-cc6a-5576-9e47-b352390148a4,F,18,21,ASIAN,3.45,3.28,3.28,3.45,,,Yes,,4th Year
1ffca1e5-bfc5-502d-a8c7-6c74c3624cda,M,18,21,CAUCASN,2.97,3.08,3.2,3.1,,,,,4th Year
202468a8-c34b-5019-8fac-e0b1167e844a,F,18,21,CAUCASN,2.83,2.83,2.83,3.11,,,,,4th Year
2025673b-c827-5618-bc39-9dc48ee3d1dd,M,18,21,CAUCASN,3.72,3.56,3.56,3.72,,,Yes,,4th Year
20a6e723-9009-5b3c-92c4-1e13ed31d9e3,F,18,21,ASIAN,3.43,3.4,3.4,3.43,,,Yes,,4th Year
22cf8452-3b97-501c-ab19-c44ad088a617,M,18,21,CAUCASN,3.02,2.64,2.64,3.02,,,,,4th Year
23111b53-24e2-5c3c-be7f-275ccba8deea,F,18,21,CAUCASN,3.73,3.57,3.57,3.73,,,Yes,,4th Year
236133b3-f776-59d7-8e8c-a1f5866741e0,M,18,21,HISPANIC LATINO AMER,3.75,3.6,3.6,3.75,,,Yes,,4th Year
23662718-e3c7-59cf-8aaa-049fd3dfcc7f,M,18,21,HAW/PAC,3.36,3.36,3.36,3.36,,,,,4th Year
237f87c2-f44d-5f1d-80d6-7affc04e3cb2,M,18,21,HISPANIC LATINO AMER,3.86,3.86,3.86,3.86,,,Yes,,4th Year
23b9246a-6296-53b0-a6fe-8a61bd6f6c31,M,18,21,ASIAN,3.3,3.3,3.3,3.3,,,,,4th Year
242dd1d0-8c2d-5c29-951d-be46cf7c460c,M,18,21,AFRO-AM,3.32,3.32,3.32,3.32,,,Yes,,4th Year
2446da3f-a079-5b3d-b38a-8bffa0942797,M,18,21,AFRO-AM,3.5,3.5,3.5,3.5,,,Yes,,4th Year
2496f3aa-fa0e-593e-be11-47cf77a04516,F,18,21,CAUCASN,3.11,3.11,3.02,3.11,,,,,4th Year
24a3b144-5b61-50bb-8737-a0cb8826ed9c,F,18,21,ASIAN,3.62,3.62,3.62,3.62,,,Yes,,4th Year
25ccb474-a2c6-56cf-87f4-583338d58073,F,18,21,CAUCASN,3.32,3.32,3.32,3.32,,,Yes,,4th Year
26056206-6839-52cc-a13f-26a8c8112729,M,18,21,ASIAN,3.4,3.4,3.4,3.4,,,Yes,,4th Year
26131e2f-049b-5ed3-ab25-f446deb89016,F,18,21,HISPANIC LATINO AMER,3.37,3.37,3.37,3.37,,,,,4th Year
26332ab5-7ae5-5f46-a81d-7a536f18b212,F,18,21,ASIAN,3.51,3.32,3.32,3.51,,,,,4th Year
26530bd4-2db0-53e6-ae89-0a37f0998d6e,M,18,21,CAUCASN,2.48,2.65,2.65,3.03,,,,,4th Year
26d74de5-c060-5d7d-9e85-3fe847ec2237,F,18,21,ASIAN,2.84,2.85,2.85,3.05,,,Yes,,4th Year
274a3e9c-47ac-5d3f-b69a-cce1bf7d9fb2,M,18,21,ASIAN,2.87,2.87,3.01,3.11,,,,,4th Year
277a03a7-e391-5e0b-9ee8-eab2fac538d5,M,18,21,CAUCASN,3.54,3.55,3.55,3.54,,,,,4th Year
27946913-240f-5eb1-9045-7484bbc9c8b8,F,18,21,ASIAN,3.4,3.4,3.4,3.4,,,Yes,,4th Year
28132d9e-60ac-5e45-ab37-533d9babdcad,M,18,21,CAUCASN,3.06,3.06,3.06,3.06,,,Yes,,4th Year
281c66d5-fcb5-5f51-9ba0-bcabccc23fa6,M,18,21,ASIAN,3.56,3.48,3.48,3.56,,,,,4th Year
2822caad-19af-5db3-856f-3ecfee393b8a,M,18,21,CAUCASN,3.57,3.57,3.57,3.57,,,,,4th Year
288077fb-e6fa-5143-8cec-b89c2cabb155,F,18,21,ASIAN,3.5,3.5,3.5,3.5,,,Yes,,4th Year
2884af17-1d2b-5491-8ab1-f57e032691bd,F,18,21,CAUCASN,3.35,3.09,2.88,3.35,,,Yes,,4th Year
29afb7c7-cf25-5d78-869c-8f62190cb433,M,18,21,HISPANIC LATINO AMER,2.83,2.83,2.83,3.08,,,Yes,,4th Year
2a6e3749-d8c9-5f49-bd40-3fb7cfa631fd,F,18,21,ASIAN,3.2,3.2,3.2,3.2,,,Yes,,4th Year
2ab4545b-8a34-548d-b773-af38880d90f0,M,18,21,AFRO-AM,3.2,3.2,3.2,3.2,,,Yes,,4th Year
2abc4378-aab0-5bbb-94bc-fb519eb04f78,F,18,21,CAUCASN,2.69,2.69,2.69,3.04,,,,,4th Year
2b2cc6d9-953b-5ae7-8d4c-9ab98e2bf350,M,18,21,ASIAN,3.75,3.61,3.61,3.75,,,Yes,,4th Year
2b7ce1e7-b518-5df6-bfea-5d6a7e2e40d1,M,18,21,HISPANIC LATINO AMER,3.62,3.62,3.62,3.62,,,Yes,,4th Year
2b94bcac-49c5-5db0-a54d-61e2c75bb5c3,F,18,21,ASIAN,3.12,3.12,3.12,3.12,,,Yes,,4th Year
2baf2048-ed4d-57fa-b552-5870e2b730e4,M,18,21,CAUCASN,3.69,3.5,3.5,3.69,,,Yes,,4th Year
2bcee383-c9d9-5e62-90bb-bcf99ddecb7a,F,18,21,HAW/PAC,3.28,3.28,3.28,3.25,,,Yes,,4th Year
2bd62017-7f0b-5f74-880a-eb303eaacb6a,F,18,21,ASIAN,3.52,3.41,3.41,3.52,,,,,4th Year
2c49bd6d-4c75-5358-8bf7-636d36a5e6e8,M,18,21,CAUCASN,3.58,3.58,3.58,3.58,,,,,4th Year
2e5b8ed6-3208-5e3a-8788-7d8b90909c9e,F,18,21,HISPANIC LATINO AMER,2.49,2.67,2.78,3.03,,,,,4th Year
2e81a8ed-25fa-55f0-bd15-19b0cc6e3d92,M,18,21,ASIAN,3.21,3.21,3.21,3.21,,,,,4th Year
2ec3d0f7-e780-5589-aa12-073aeadc10a9,F,18,21,ASIAN,3.47,3.42,3.42,3.47,,,,,4th Year
2eebbb76-ba12-5572-aca9-9aff22e03690,M,18,21,AFRO-AM,3.66,3.66,3.66,3.66,,,Yes,,4th Year
2f38f8d6-bebb-5417-ac8f-b045e4cb74f9,M,18,21,CAUCASN,3.44,3.21,3.21,3.44,,,Yes,,4th Year
2f680a26-dee7-52f1-bd19-5a2ac89e8b25,F,18,21,HISPANIC LATINO AMER,3.3,3.3,3.3,3.3,,,,,4th Year
2fa7519c-2a2b-5590-92c4-9f56e8b1d898,F,18,21,ASIAN,3.33,3.33,3.33,3.33,,,,,4th Year
30344b9a-3630-553f-9197-505daba86c85,M,18,21,HISPANIC LATINO AMER,3.57,3.57,3.57,3.57,,,,,4th Year
30a94687-3e8b-5dcd-b8c4-a1786c7d00d5,M,18,21,HISPANIC LATINO AMER,3.25,3.25,3.25,3.25,,,Yes,,4th Year
30d930f2-02ae-591a-9258-ecc4288fa992,M,18,21,AFRO-AM,3.67,3.67,3.67,3.67,,,Yes,,4th Year
30e09b35-993f-543f-bc9e-af1a3f9f504a,M,18,21,CAUCASN,3,2.83,2.83,3,,,,,4th Year
314fea2d-045c-5d33-9ec0-4a8636ebfc27,F,18,21,CAUCASN,3.25,3.25,3.25,3.25,,,Yes,,4th Year
31a3805f-c028-58db-b961-5cfbc59d8dd9,M,18,21,CAUCASN,3.31,3.31,3.31,3.31,,,,,4th Year
3222a722-4b6b-517b-87c9-1ba01c8ddd89,M,18,21,HISPANIC LATINO AMER,3.65,3.52,3.52,3.65,,,Yes,,4th Year
3234b06f-be30-5894-8f22-22daf34ee1bd,M,18,21,ASIAN,3.74,3.58,3.58,3.74,,,Yes,,4th Year
32929db9-0c94-52e3-bfa9-194d4de7bdec,F,18,21,HISPANIC LATINO AMER,3.05,2.8,2.8,3.23,,,,,4th Year
32a5cf02-6c4e-523a-a9a8-7384f631db58,F,18,21,ASIAN,3.36,3.36,3.36,3.36,,,,,4th Year
32c03cae-e06d-5eea-adc2-b9db27fb0f5a,M,18,21,CAUCASN,3.58,3.58,3.58,3.58,,,,,4th Year
33152ab5-bd50-5d01-8c3c-ee25850d966d,M,18,21,HISPANIC LATINO AMER,3.41,3.21,3.21,3.41,,,,,4th Year
346809ab-5f41-5aaa-845a-9a98cb40b49f,M,18,21,HISPANIC LATINO AMER,3.25,3.25,3.25,3.25,,,Yes,,4th Year
3545b3a0-cf56-5a64-9bf7-08fb8f4699b6,M,18,21,HISPANIC LATINO AMER,3.63,3.35,3.35,3.63,,,Yes,,4th Year
356cc5ba-55a5-54d1-9e95-7a5333d94295,M,18,21,HISPANIC LATINO AMER,3.29,3.29,3.29,3.29,,,,,4th Year
359ebc3d-d43d-5f95-b567-93cac06a0d9e,F,18,21,CAUCASN,3.11,3.11,3.11,3.15,,,,,4th Year
35cf3eec-8a12-5b51-9063-f49f8b10a0d4,M,18,21,CAUCASN,3.34,3.34,3.34,3.34,,,Yes,,4th Year
36c584a1-1c5e-59ed-8c78-26e5f976bff1,M,18,21,ASIAN,2.83,2.83,2.83,3.11,,,,,4th Year
370e0af1-324b-5af5-bf74-9dfd424dd054,M,18,21,HISPANIC LATINO AMER,2.98,2.98,3.05,3.18,,,,,4th Year
37489dda-ff16-5092-ab7a-fbc29d0b4e00,M,18,21,HISPANIC LATINO AMER,3,2.84,2.84,3,,,Yes,,4th Year
385c73e8-7eb2-5a34-b9d9-f76a1be80cc2,M,18,21,HISPANIC LATINO AMER,3.37,3.37,3.37,3.37,,,,,4th Year
387a941e-c671-55aa-af19-8ffb55f1e239,M,18,21,AFRO-AM,3.47,3.43,3.43,3.47,,,,,4th Year
39002b15-5312-51d5-9c67-35a511a31f9c,M,18,21,HISPANIC LATINO AMER,3.54,3.56,3.56,3.54,,,,,4th Year
3916bd3a-785a-528c-8115-3065c3703e8f,M,18,21,ASIAN,3.28,3.28,3.28,3.28,,,,,4th Year
3934be0c-e9cf-5e48-8b06-9891b4519c9a,M,18,21,ASIAN,3.7,3.53,3.53,3.7,,,Yes,,4th Year
396d8e5b-7f46-5774-8b96-6324a7a46344,M,18,21,HISPANIC LATINO AMER,3.35,3.1,2.99,3.35,,,Yes,,4th Year
39ab2a9d-f1d2-54a5-80f8-a5261b80e918,M,18,21,ASIAN,3.35,3.11,3.11,3.35,,,Yes,,4th Year
39ccb676-186e-5a93-b82d-d6c07911d4c7,M,18,21,ASIAN,3.32,3.32,3.32,3.32,,,Yes,,4th Year
39e2fa1e-18bf-5ae5-9958-02d5d95a2f94,F,18,21,ASIAN,2.77,2.77,2.77,3.08,,,,,4th Year
39e976ff-e547-5414-9024-96488e9e0bc7,M,18,21,HISPANIC LATINO AMER,3.06,3.06,3.15,3.23,,,,,4th Year
3a8c004a-bc61-5af9-bafc-fb2e6c30a701,M,18,21,HISPANIC LATINO AMER,3.53,3.48,3.48,3.53,,,,,4th Year
3adb4b76-df58-5fb8-a22a-a45cfc267806,M,18,21,HISPANIC LATINO AMER,3.8,3.66,3.66,3.56,,,Yes,,4th Year
3b0f7880-fe73-5927-a92d-7cdfa3963dda,M,18,21,CAUCASN,3.1,3.1,2.92,3.1,,,,,4th Year
3bb63947-98d2-5f0b-b83d-6666232f2655,M,18,21,HISPANIC LATINO AMER,3.44,3.22,3.22,3.44,,,Yes,,4th Year
3bda58f1-1dc7-5e4b-8994-1de20f52f967,M,18,21,ASIAN,3.66,3.66,3.66,3.66,,,Yes,,4th Year
3c451f8c-d2a9-552e-8e7a-1cc685ffe1ed,M,18,21,HISPANIC LATINO AMER,3.09,3.09,3.09,3.09,,,,,4th Year
3c4a1de7-de73-506f-86c1-ded036a7441f,F,18,21,CAUCASN,3.47,3.47,3.47,3.47,,,,,4th Year
3c6591fc-ed9e-5265-9ee7-ed7fc83ccc75,M,18,21,ASIAN,3.18,3.18,2.82,3.18,,,Yes,,4th Year
3cef6fbc-7eca-54df-84e0-62268b010114,M,18,21,CAUCASN,3.55,3.55,3.55,3.55,,,,,4th Year
3d0c33b8-1b1d-5a73-989e-a7414e4e6397,M,18,21,CAUCASN,3.34,3.34,3.34,3.34,,,Yes,,4th Year
3d25cab6-2eb0-5f27-967f-d902bc859a78,F,18,21,ASIAN,3.59,3.59,3.59,3.59,,,,,4th Year
3d3ef0bb-3051-5385-a690-c1137458883a,M,18,21,ASIAN,2.7,2.7,2.7,3.04,,,,,4th Year
3df6f910-5b01-5cee-90b7-b4d38dc493b3,M,18,21,HISPANIC LATINO AMER,3.35,3.35,3.35,3.35,,,Yes,,4th Year
3e2a9358-67f0-5f3c-be77-9c98d82c5f4c,M,18,21,HISPANIC LATINO AMER,3.99,3.88,3.88,3.9,,,,,4th Year
